District,Age,Men,Women,Total,Check,Diff
Mostaganem,55-59 ans,11603,10663,22266,22266,0
Mostaganem,60-64 ans,7622,7625,15246,15247,1
Mostaganem,65-69 ans,6467,6809,13276,13276,0
Mostaganem,70-74 ans,4863,5523,10386,10386,0
Mostaganem,75-79 ans,3190,3661,6852,6851,-1
Mostaganem,80-84 ans,1339,1600,2939,2939,0
Mostaganem,85 ans &  +,833,1214,2048,2047,-1
Mascara,0-4 Ans,41611,39725,81336,81336,0
Mascara,5-9 ans,33857,32615,66472,66472,0
Mascara,10-14 ans,36990,36123,73113,73113,0
Mascara,15-19 ans,38560,37688,76248,76248,0
Mascara,20-24 ans,42474,41633,84107,84107,0
Mascara,25-29 ans,41043,38414,79457,79457,0
Mascara,30-34 ans,34319,31958,66277,66277,0
Mascara,35-39 ans,28300,27197,55497,55497,0
Mascara,40-44 ans,23530,22898,46427,46428,1
Mascara,45-49 ans,18853,18411,37264,37264,0
Mascara,50-54ans,16312,15577,31889,31889,0
Mascara,55-59 ans,12968,12301,25269,25269,0
Mascara,60-64 ans,8728,8726,17453,17454,1
Mascara,65-69 ans,8073,7749,15822,15822,0
Mascara,70-74 ans,6056,6104,12160,12160,0
Mascara,75-79 ans,3815,4117,7931,7932,1
Mascara,80-84 ans,1746,1926,3672,3672,0
Mascara,85 ans &  +,1161,1631,2792,2792,0
Medea,0-4 Ans,41401,38815,80216,80216,0
Medea,5-9 ans,33539,32054,65593,65593,0
Medea,10-14 ans,40638,39044,79682,79682,0
Medea,15-19 ans,46915,45579,92494,92494,0
Medea,20-24 ans,48156,46734,94890,94890,0
Medea,25-29 ans,44599,42859,87458,87458,0
Medea,30-34 ans,34700,33493,68192,68193,1
Medea,35-39 ans,28322,28692,57015,57014,-1
Medea,40-44 ans,22487,22280,44767,44767,0
Medea,45-49 ans,18643,18530,37173,37173,0
Medea,50-54ans,15278,14858,30136,30136,0
Medea,55-59 ans,11912,10979,22891,22891,0
Medea,60-64 ans,8360,7881,16241,16241,0
Medea,65-69 ans,7689,7017,14706,14706,0
Medea,70-74 ans,5949,5854,11803,11803,0
Medea,75-79 ans,4455,3790,8245,8245,0
Medea,80-84 ans,2349,1832,4181,4181,0
Medea,85 ans &  +,1679,1394,3073,3073,0
M'Sila,0-4 Ans,58420,54954,113374,113374,0
M'Sila,5-9 ans,49175,46926,96101,96101,0
M'Sila,10-14 ans,55151,53279,108430,108430,0
M'Sila,15-19 ans,61004,58547,119551,119551,0
M'Sila,20-24 ans,58986,58195,117180,117181,1
M'Sila,25-29 ans,49919,48674,98593,98593,0
M'Sila,30-34 ans,37614,36628,74242,74242,0
M'Sila,35-39 ans,29463,28798,58261,58261,0
M'Sila,40-44 ans,23504,23358,46862,46862,0
M'Sila,45-49 ans,21352,21045,42397,42397,0
M'Sila,50-54ans,16774,16463,33237,33237,0
